Experiment Name:,2019_experiment_29760_DARPA_HLTH_IR,
Primary Researcher:,Irene Ramos-Lopez,
Compensation used:,File-internal Compensation,
Exported at:,November 25 2019 - 03:54 pm,
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/33667,
,,
FCS Filename,Event Counts of Cells-beads,% of CD45_live cells in Cells-beads
190503_STSE04_2010113183.fcs,354076,82.155
190503_STSE04_2010113311_6.fcs,242044,76.1928
190503_STSE04_2010113367_6.fcs,256259,82.1996
190503_STSE04_2010113384_6.fcs,259193,86.544
190503_STSE04_2010113397_6.fcs,210305,64.9333
190503_STSE04_2010113399_6.fcs,236794,76.6295
190503_STSE04_2010113435_6.fcs,235007,78.5653
190503_STSE04_2010113437_6.fcs,337978,82.2397
190503_STSE04_2010113565_6.fcs,239732,85.0954
190503_STSE04_2010113568_6.fcs,347366,89.079
